gene,depletion_pval,concentration_pval,p_combined,p_size,p_sens,p_final,sample_size,sens_score,is_signal_sim,q_bh
Gene_224,0.10403411573965972,0.9345432647187858,0.7371085248035932,0.011834180588984777,0.7228915652650603,0.7600556297129657,83.0,0.27710843373493976,0,0.9150216716676768
Gene_225,0.044253341854497835,0.8273566954341086,0.11125575596361409,0.013605230870246343,0.6527777767777778,0.18143127485284327,72.0,0.3472222222222222,0,0.3474209689251012
Gene_226,0.1292334718512064,0.01701006763155834,0.03019344082872155,0.01652854617838251,0.3728813549322034,0.07435378691701267,59.0,0.6271186440677966,0,0.23430607656543911
Gene_227,0.0975798366323472,0.6020553858636616,0.19598154629082581,0.028167124967018897,0.6176470578235294,0.2566219198847909,34.0,0.38235294117647056,0,0.44464194039443966
Gene_228,0.4687889213790736,0.7711789675311134,0.6531882537191641,0.014814541837353312,0.3787878777878788,0.6691976398713069,66.0,0.6212121212121212,0,0.8493980281175907
Gene_229,0.17315824363856042,0.7781543105584554,0.4282477261235941,0.012903045621989184,0.5921052621578947,0.4692148880176976,76.0,0.40789473684210525,0,0.672422976071167
Gene_230,0.00017963228796007285,0.12763844971465,0.0003587868801881444,0.01652854617838251,0.440677965101695,0.054003613436705344,59.0,0.559322033898305,0,0.22082421728076498
Gene_231,0.016583609830712998,0.2492302717005711,0.03144171063947104,0.019047037639797315,0.5098039205686274,0.09156066685027198,51.00000000000001,0.49019607843137253,0,0.24316598932350983
Gene_232,0.37181023866457064,0.7109669515119925,0.5558486975930802,0.028983448207562823,0.3333333323333334,0.5742326553770785,33.0,0.6666666666666666,0,0.7759900748338898
Gene_233,0.048392651528908114,0.7132563071011437,0.10681351168385234,0.013985784402998025,0.5857142847142857,0.17017245742754739,70.0,0.4142857142857143,0,0.33273944189743904
Gene_234,0.8888778436873983,0.6106789456412907,0.8180679448239836,0.012738680131672453,0.3636363626363637,0.8261176203061158,77.0,0.6363636363636364,0,0.9480038265807886
