gene,Day0,Day10,Day2,Day4
B4galnt2,1.8235047048033943,1.6870409813245466,2.1157261089745325,2.4949323583172593
B4galt1,1.1040385974315297,1.3689373815750552,1.156221250352154,1.3656155239012022
BB287469,,,1.639046776761486,
BC006965,,1.3895477695023886,,1.0793655767721797
BC016579,,1.4198549883673837,,
BC024139,,,,1.5953143234962914
BC030500,,1.2080361647300053,1.7079843848511542,1.1447956502251384
BC048679,1.557269589995019,1.437415552063854,1.2926819989406888,1.8570098884153339
BC080695,,,1.5593191380501872,
BC147527,,,1.4971744340945397,
Baalc,,1.4021189115288522,,
Bace2,2.0010810400492334,1.3379611198016632,,1.3769365961632858
Bag3,0.20386225645790684,1.3202648911941053,1.1126884864220246,1.269799350245953
Baiap2l1,0.7500390015280519,1.4099946577609148,1.1884289734175704,1.5197921944563473
Baiap2l2,,1.3989462714506933,1.0851218696923717,1.17279918251825
Bard1,0.09934556533283119,1.141381156122749,1.030951023753458,1.3135784695707333
Bcan,,1.3836832316802705,1.1468566070090138,1.1821942643748091
Bcas1,0.9943710322124076,1.3779817157977916,1.1154276083107693,
Bche,1.167648127403898,1.4271994608288323,0.9588067669834158,1.0478273601385535
Bcl2l14,0.9741289891945457,1.4716594643173249,1.0785018044938595,1.8953205388085768
