gene,delta,Day0,Day2,Day4,Day10,max,labels
Cacng1,0.08963367017234994,,,,1.4797650700528209,1.4797650700528209,0001
S100b,0.08963367017234994,,,,1.4796716636934597,1.4796716636934597,0001
Cacng3,0.08963367017234994,,,,1.4790180672136137,1.4790180672136137,0001
Reg4,0.08963367017234994,,,,1.4746469366708084,1.4746469366708084,0001
Fgf12,0.08963367017234994,,1.0295547275315438,1.206134253320917,1.4744734364072105,1.4744734364072105,0001
Tmppe,0.08963367017234994,,,,1.4743335195309792,1.4743335195309792,0001
Cbln4,0.08963367017234994,,,,1.4734101599747111,1.4734101599747111,0001
Nlrp10,0.08963367017234994,,,,1.4731765455911354,1.4731765455911354,0001
Enpp2,0.08963367017234994,1.1862049363166531,,1.228625934183279,1.4731407007857498,1.4731407007857498,0001
Ifit3b,0.08963367017234994,,,,1.4726496640073645,1.4726496640073645,0001
Serpinb9b,0.08963367017234994,,,,1.4724116164294987,1.4724116164294987,0001
Serpina3n,0.08963367017234994,,,,1.4723904984365053,1.4723904984365053,0001
Bend6,0.08963367017234994,0.8364817661248163,1.0331758452284279,1.0543733140229212,1.471679722059446,1.471679722059446,0001
Nkain3,0.08963367017234994,,,1.1370856528861657,1.4716790074594384,1.4716790074594384,0001
Dmrtb1,0.08963367017234994,1.1358979572369066,1.2344505933079235,,1.4714369781096162,1.4714369781096162,0001
Trbc1,0.08963367017234994,,,,1.4711255076182417,1.4711255076182417,0001
Fam135b,0.08963367017234994,,,,1.47097092551025,1.47097092551025,0001
Rgs20,0.08963367017234994,1.2093524884671616,,1.1039977316606695,1.4705152582408683,1.4705152582408683,0001
Adgre4,0.08963367017234994,,,,1.470448074605958,1.470448074605958,0001
Tafa4,0.08963367017234994,1.0731176365757333,,,1.4702212403265746,1.4702212403265746,0001
Col2a1,0.08963367017234994,0.6540989750033339,1.1124009046597607,1.1140601246107011,1.4700714567460493,1.4700714567460493,0001
Ugt2b35,0.08963367017234994,,,,1.4699853591185046,1.4699853591185046,0001
Smim6,0.08963367017234994,,,,1.4698828682434997,1.4698828682434997,0001
Tff3,0.08963367017234994,,,,1.4697846005548048,1.4697846005548048,0001
Fgl2,0.08963367017234994,,,,1.4697369788631944,1.4697369788631944,0001
Tlcd2,0.08963367017234994,1.012433812038574,1.1661068412748918,0.9921708407577708,1.4693035993321182,1.4693035993321182,0001
Mia,0.08963367017234994,1.2003924823631842,1.2490442231173704,1.0151703776498096,1.4692971078896375,1.4692971078896375,0001
Foxd3,0.08963367017234994,0.0014500663952330647,,1.2055995621742217,1.4678244103019167,1.4678244103019167,0001
Tril,0.08963367017234994,1.208175054258457,1.1428841845740232,1.080790853203734,1.4673948028047497,1.4673948028047497,0001
Fibcd1,0.08963367017234994,,,,1.466496125578814,1.466496125578814,0001
Slc5a11,0.08963367017234994,1.1153200451609104,,,1.465927162036433,1.465927162036433,0001
Itga1,0.08963367017234994,,0.8941058603580704,,1.464923596240126,1.464923596240126,0001
Col1a2,0.08963367017234994,,1.196821481787814,1.0438337035494312,1.464783808183707,1.464783808183707,0001
Klk6,0.08963367017234994,,,,1.464661030002361,1.464661030002361,0001
Ehf,0.08963367017234994,,,,1.4644614315748152,1.4644614315748152,0001
Ildr2,0.08963367017234994,,1.1131886758404894,1.2290914160110407,1.4637851747822346,1.4637851747822346,0001
Slc10a5,0.08963367017234994,,,,1.4635378962693066,1.4635378962693066,0001
Neurod2,0.08963367017234994,,,,1.461670509994256,1.461670509994256,0001
Vil1,0.08963367017234994,1.128188120546895,,,1.460686597860965,1.460686597860965,0001
Kcnk5,0.08963367017234994,0.999049035482082,1.0315172023603547,1.1690407820654003,1.4602652047531353,1.4602652047531353,0001
Gabra5,0.08963367017234994,,,,1.459781911835044,1.459781911835044,0001
Syt4,0.08963367017234994,,,1.197422501925506,1.459667327486188,1.459667327486188,0001
Crym,0.08963367017234994,0.5338175893694154,0.9664491501923586,1.2186091426989818,1.4595789877859502,1.4595789877859502,0001
Serpinb9,0.08963367017234994,,,,1.4594009664980603,1.4594009664980603,0001
Slc35f4,0.08963367017234994,,,,1.4592325541835962,1.4592325541835962,0001
Mfng,0.08963367017234994,1.0448589898307148,1.0875859535918466,1.1767155667436822,1.4576156716671758,1.4576156716671758,0001
Rln1,0.08963367017234994,1.0084772923587493,1.093702544876307,1.1540080639531112,1.4572951230972708,1.4572951230972708,0001
Mmd2,0.08963367017234994,,,1.265290107408854,1.4569905809419244,1.4569905809419244,0001
